current_path	proposed_path	disposition	confidence	routing_rule	rationale
.DS_Store	legacy-unclassified/system-metadata/.DS_Store	metadata-quarantine	high	[metadata rule]	Finder metadata or Office temporary/lock file; quarantine without treating it as substantive evidence or deleting it.
Adventis/1 Pre-Boot Camp Files/2017 Whole Foods Proxy Statement.pdf	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/2017 Whole Foods Proxy Statement.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/1 Pre-Boot Camp Files/Adventis Boot Camp Packet 200526.pdf	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/Adventis Boot Camp Packet 200526.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/1 Pre-Boot Camp Files/Adventis Financial Modeling Macros (for Macs) 251231.xlsm	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/Adventis Financial Modeling Macros (for Macs) 251231.xlsm	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/1 Pre-Boot Camp Files/Adventis Financial Modeling Macros (for PCs) 251231.xlsm	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/Adventis Financial Modeling Macros (for PCs) 251231.xlsm	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/1 Pre-Boot Camp Files/Resume Descriptions 180824.pdf	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/Resume Descriptions 180824.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/1 Pre-Boot Camp Files/Self-Paced Exercise 170927.xlsx	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/Self-Paced Exercise 170927.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/1 Pre-Boot Camp Files/Self-Paced Exercise Instructions 170928.pdf	experience-and-portfolio/technical-training/Adventis/1 Pre-Boot Camp Files/Self-Paced Exercise Instructions 170928.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air 2018 10-K Selected Pages 190425.pdf	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air 2018 10-K Selected Pages 190425.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Equity Research 200524.pdf	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Equity Research 200524.pdf	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.01.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.01.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.02.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.02.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.03.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.03.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.04.xlsx	experience-and-portfolio/technical-training/Adventis/2 Adventis Air Financial Modeling Exercise/Adventis Air Exercise 200322 v.04.xlsx	move-as-bundle	high	Adventis/	Financial-modeling training materials belong together.
