scope_type	current_path	proposed_path	disposition	confidence	rationale
subtree	Adventis/	experience-and-portfolio/technical-training/Adventis/	move-as-bundle	high	Financial-modeling training materials belong together.
subtree	BADM 301/	education-and-leadership/coursework/BADM 301/	move-as-bundle	high	Course assignments and supporting materials.
subtree	BNP Internship/	experience-and-portfolio/employers/BNP Paribas/	move-as-bundle	high	Employer/internship records rather than recruiting submissions.
subtree	Ben Resume/	reference-materials/resume-examples/Ben Resume/	move-as-bundle	medium	Appears to be another person's resume used as reference; content review required.
subtree	Carolina Fund Stock Pitch/	experience-and-portfolio/investment-projects/Carolina Fund Stock Pitch/	move-as-bundle	high	Investment-project evidence and working files.
subtree	Chase Mentor-Mentee/	outreach/contacts-and-introductions/Chase Mentor-Mentee/	move-as-bundle	medium	Relationship/mentorship context appears controlling; verify before move.
subtree	Citi Interview Prep/	recruiting/interview-prep/Citi/	move-as-bundle	high	Interview preparation and recording.
subtree	DB Screenshots/	recruiting/applications/legacy-undergraduate/Deutsche Bank/screenshots/	move-as-bundle	medium	Likely application evidence; exact program should remain unresolved.
subtree	Forte Capital Group/	experience-and-portfolio/employers/Forte Capital Group/	move-as-bundle	high	Employer/internship documentation.
subtree	GAM & CL/	recruiting/applications/legacy-undergraduate/GAM-and-cover-letters/	split-by-override	medium	Application-cycle collection; preserve company bundles and review generic guidance separately.
subtree	GAM & CL/Cover Letter Tips/	reference-materials/career-guides/Cover Letter Tips/	move-as-bundle	high	Reusable guidance, not one application.
subtree	GCC/	education-and-leadership/organizations/GCC/	move-as-bundle	high	Organization/program materials.
subtree	GCC WORKSHOP/	education-and-leadership/organizations/GCC Workshop/	move-as-bundle	high	Workshop and organization materials.
subtree	GOldman/	recruiting/applications/legacy-undergraduate/Goldman Sachs/	move-as-bundle	medium	Likely Goldman application evidence; retain original filename.
subtree	Grad Recruiting/	recruiting/applications/2026-graduate/	split-by-override	medium	Most content is graduate recruiting, with functional exceptions below.
subtree	Grad Recruiting/Certifications/	career-core/certifications/Grad Recruiting Imports/	move-as-bundle	high	Reusable credentials belong in career core.
subtree	Grad Recruiting/Resume/	career-core/resumes/grad-recruiting/	move-as-bundle	high	Reusable resume-version area.
subtree	Grad Recruiting/Tell Me About Yourself Drafts/	recruiting/interview-prep/Tell Me About Yourself/	move-as-bundle	high	Reusable interview preparation.
subtree	Grad Recruiting/Zev Scherl/	outreach/contacts-and-introductions/Zev Scherl/	move-as-bundle	high	Connector-specific relationship material.
subtree	Grad Recruiting/vrc portfolio analysis/	experience-and-portfolio/investment-projects/VRC Portfolio Analysis/	move-as-bundle	high	Portfolio/investment analysis rather than an application.
file	Grad Recruiting/Master Applications.xlsx	recruiting/trackers/Master Applications.xlsx	proposed-move	high	Candidate application tracker; authority remains unresolved.
file	Grad Recruiting/Master Netoworking.xlsx	recruiting/trackers/Master Netoworking.xlsx	proposed-move	high	Candidate networking tracker; preserve original spelling in first move.
